Association,All Players,Registered players,Unregistered Players,Clubs,Officials
 China PR,"26,166,335","711,235","25,455,100","2,221","129,057"
 USA,"24,472,778","4,186,778","20,286,000","9,000","796,300"
 India,"20,587,900","384,900","20,203,000","6,540","38,640"
 Germany,"16,308,946","6,308,946","10,000,000","26,837","159,172"
 Brazil,"13,197,733","2,141,733","11,056,000","29,208","61,000"
 Mexico,"8,479,595","324,595","8,155,000",311,"85,789"
 Indonesia,"7,094,260","66,960","7,027,300",83,"1,069"
 Nigeria,"6,653,710","58,710","6,595,000",52,"33,122"
 Bangladesh,"6,280,300","271,300","6,009,000","4,100","75,604"
 Russia,"5,802,536","846,736","4,955,800","14,329","259,830"
 Italy,"4,980,296","1,513,596","3,466,700","16,697","78,481"
 Japan,"4,805,150","1,045,150","3,760,000","2,000","249,603"
 South Africa,"4,540,410","1,469,410","3,071,000",900,"20,557"
 France,"4,190,040","1,794,940","2,395,100","20,062","285,723"
 England,"4,164,110","1,485,910","2,678,200","42,490","168,186"
 Ethiopia,"3,474,245","56,245","3,418,000","1,004","310,600"
 Egypt,"3,138,110","52,110","3,086,000",608,"18,270"
 Colombia,"3,043,229","291,229","2,752,000","2,773","15,800"
 Pakistan,"2,975,400","64,400","2,911,000",720,"9,900"
 Spain,"2,834,190","653,190","2,181,000","18,190","62,573"
 Turkey,"2,748,657","197,657","2,551,000","4,450","208,027"
 Canada,"2,695,712","865,712","1,830,000","10,000","189,624"
 Argentina,"2,658,811","331,811","2,327,000","3,377","37,161"
 Chile,"2,608,337","478,337","2,130,000","5,762","26,374"
 Congo DR,"2,515,600","77,600","2,438,000",770,"10,600"
 Ukraine,"2,273,017","692,317","1,580,700",70,"15,580"
 Kenya,"2,041,102","75,102","1,966,000",711,"52,010"
 Guatemala,"2,006,649","154,649","1,852,000",139,"5,403"
 Poland,"2,000,264","656,964","1,343,300","5,891","71,758"
 Peru,"1,891,790","238,790","1,653,000","2,100","4,182"
 Vietnam,"1,874,350","24,150","1,850,200",35,"10,652"
 Iran,"1,806,544","449,644","1,356,900",120,"25,800"
 Algeria,"1,790,200","203,900","1,586,300","2,090","24,500"
 Netherlands,"1,745,860","1,138,860","607,000","4,856","11,238"
 Philippines,"1,668,765","30,675","1,638,090",85,299
 Morocco,"1,628,016","165,016","1,463,000",599,"8,651"
 Sudan,"1,567,300","46,300","1,521,000",440,"8,800"
 Venezuela,"1,490,573","60,173","1,430,400",920,"9,132"
 Mali,"1,391,625","14,175","1,377,450",140,"6,078"
 Thailand,"1,298,000","28,600","1,269,400",150,"6,600"
 Uganda,"1,191,514","46,514","1,145,000",402,"5,600"
 Cuba,"1,141,825","46,425","1,095,400",353,"5,255"
 Myanmar,"1,122,039","132,659","989,380",605,"3,750"
 Korea Republic,"1,094,227","31,127","1,063,100",100,"4,648"
 Costa Rica,"1,084,588","50,588","1,034,000",254,"4,866"
 Czech Republic,"1,040,357","686,257","354,100","4,108","12,881"
 Paraguay,"1,037,435","87,435","950,000","1,709","4,002"
 Romania,"1,034,320","108,620","925,700","2,832","20,883"
 Ecuador,"1,029,655","30,855","998,800",201,"4,455"
 Zambia,"1,024,817","29,211","995,606",918,"11,559"
 Sweden,"1,006,939","552,939","454,000","4,236","24,950"
 Ghana,"987,500","27,500","960,000",280,"5,200"
 Australia,"970,728","435,728","535,000","3,868","67,632"
 Austria,"967,281","596,281","371,000","2,311","392,802"
 Mozambique,"885,700","35,700","850,000",170,"6,100"
 Madagascar,"826,420","30,420","796,000",220,"4,788"
 Belgium,"816,583","443,383","373,200","2,058","79,645"
 C̫te d'Ivoire,"801,700","23,200","778,500",220,"4,500"
 Cameroon,"785,515","22,045","763,470",223,"7,776"
 Greece,"760,621","359,221","401,400","5,768","13,330"
 Uzbekistan,"730,200","36,900","693,300",216,"1,325"
 Angola,"664,690","16,440","648,250",103,"2,059"
 Senegal,"661,685","176,685","485,000",195,"5,024"
 Zimbabwe,"651,400","34,600","616,800",350,"3,100"
 Slovakia,"622,668","428,968","193,700","2,432","18,773"
 Burkina Faso,"605,100","23,200","581,900",100,"3,100"
 Malaysia,"585,730","9,930","575,800",110,"11,810"
 Bolivia,"578,800","57,200","521,600",897,"3,300"
 Switzerland,"571,700","232,700","339,000","1,806","257,783"
 Portugal,"547,734","132,734","415,000","2,748","38,471"
 Somalia,"546,268","28,868","517,400",56,"7,330"
 Norway,"543,165","352,165","191,000","3,218","7,201"
 Niger,"542,711","7,711","535,000",120,"1,338"
 Iraq,"540,000","16,000","524,000",110,"2,900"
 Hungary,"527,326","127,226","400,100","2,778","10,765"
 Afghanistan,"526,781","19,781","507,000",225,145
 Tunisia,"525,264","51,829","473,435",274,"7,624"
 Malawi,"515,800","20,100","495,700",70,"2,400"
 Denmark,"511,333","301,333","210,000","2,383","56,992"
 Kazakhstan,"510,420","27,820","482,600",45,"3,160"
 Korea DPR,"502,912","14,912","488,000",239,"1,858"
 Dominican Republic,"501,004","50,004","451,000",350,"1,610"
 Nepal,"477,800","13,800","464,000",110,"2,300"
 Nicaragua,"467,031","120,677","346,354","1,281","5,770"
 El Salvador,"459,692","47,792","411,900",70,"5,853"
 Chinese Taipei,"458,460","12,560","445,900",60,476
 Haiti,"451,724","24,424","427,300",340,"2,324"
 Serbia,"441,682","132,182","309,500","2,096","14,084"
 Saudi Arabia,"438,644","15,144","423,500",153,"1,292"
 Syria,"430,800","34,600","396,200",170,"4,300"
 Chad,"429,750","5,750","424,000",50,"2,282"
 Sri Lanka,"429,150","51,150","378,000",583,"2,220"
 Republic of Ireland,"421,644","252,844","168,800","5,828","7,330"
 Honduras,"420,600","61,300","359,300",227,"6,800"
 Scotland,"420,589","111,089","309,500","6,727","10,597"
 Guinea,"410,100","18,100","392,000",150,"2,833"
 Rwanda,"386,400","10,900","375,500",110,"2,000"
 Yemen,"383,300","9,200","374,100",110,502
 Eritrea,"381,218","28,218","353,000",26,"1,553"
 Belarus,"373,810","25,810","348,000",160,"1,475"
 Finland,"362,649","148,649","214,000","1,260","16,955"
 Croatia,"362,514","109,799","252,715","1,464","17,488"
 Burundi,"352,334","11,934","340,400",165,"9,632"
 Bulgaria,"327,033","50,633","276,400",579,"2,571"
 Benin,"320,600","7,800","312,800",110,"1,700"
 Lebanon,"318,485","18,485","300,000",178,"3,495"
 Azerbaijan,"306,370","19,670","286,700",83,"13,000"
 Israel,"283,866","43,866","240,000",290,"12,150"
 Libya,"263,800","8,800","255,000",110,"2,400"
 Sierra Leone,"259,630","6,480","253,150",24,"2,463"
 Togo,"242,400","9,800","232,600",100,"3,300"
 Uruguay,"241,300","41,800","199,500","1,220","2,600"
 Cambodia,"229,511","5,511","224,000",65,230
 Tanzania,"226,518","26,318","200,200",204,"8,775"
 Puerto Rico,"222,670","23,770","198,900",77,"9,617"
 Georgia,"222,186","26,786","195,400",209,"1,233"
 Panama,"203,400","52,600","150,800",588,"2,000"
 Bosnia and Herzegovina,"200,240","69,040","131,200",773,"11,820"
 Congo,"200,210","9,060","191,150",90,"1,099"
 New Zealand,"198,757","102,257","96,500",342,"19,800"
 Singapore,"197,003","10,003","187,000",54,"1,516"
 Papua New Guinea,"196,900","68,800","128,100",463,"6,400"
 Central African Republic,"192,404","8,404","184,000",140,"3,610"
 Wales,"173,550","67,550","106,000","1,920","11,320"
 Moldova,"168,570","10,420","158,150",89,711
 Jamaica,"168,494","25,594","142,900",274,"5,037"
 Albania,"164,730","53,730","111,000",456,"6,200"
 Liberia,"163,267","9,267","154,000",47,656
 Armenia,"151,353","41,453","109,900",83,"4,944"
 Hong Kong,"149,956","4,176","145,780",84,"1,059"
 Mauritania,"137,920","5,620","132,300",68,877
 Namibia,"136,960","40,460","96,500",101,"1,645"
 Lithuania,"135,874","15,774","120,100",65,"1,565"
 Tajikistan,"132,893","3,743","129,150",50,323
 Kyrgyzstan,"124,477","8,977","115,500",100,"1,494"
 Jordan,"121,191","4,941","116,250",102,"6,231"
 Slovenia,"116,925","30,725","86,200",340,"5,818"
 Lesotho,"110,000","29,500","80,500",110,"2,300"
 Laos,"108,600","2,600","106,000",50,420
 Turkmenistan,"100,415","1,415","99,000",15,195
 Botswana,"98,632","14,452","84,180",63,"2,578"
 FYR Macedonia,"93,896","22,896","71,000",472,"1,865"
 Northern Ireland,"92,320","38,820","53,500",829,"12,110"
 Palestine,"92,160","19,060","73,100",40,795
 Latvia,"85,285","8,385","76,900",97,655
 Trinidad and Tobago,"84,600","16,600","68,000",98,900
 United Arab Emirates,"82,776","7,776","75,000",31,986
 Mauritius,"76,800","17,100","59,700",70,"4,500"
 Guinea-Bissau,"71,900","2,400","69,500",40,400
 Gabon,"69,800","8,300","61,500",60,"1,000"
 Gambia,"68,030","4,530","63,500",51,700
 Oman,"57,610","8,610","49,000",43,605
 Estonia,"57,024","9,324","47,700",152,662
 Swaziland,"54,900","5,000","49,900",60,900
 Cyprus,"52,403","19,203","33,200",108,"2,200"
 Mongolia,"51,220","5,220","46,000",10,103
 Guyana,"50,740","8,940","41,800",98,745
 Fiji,"49,688","30,088","19,600",410,"3,046"
 Luxembourg,"47,580","32,480","15,100",135,"1,314"
 Kuwait,"45,800","2,200","43,600",40,400
 Barbados,"37,550","15,840","21,710",134,"1,326"
 Djibouti,"36,320","2,520","33,800",8,480
 Suriname,"35,250","9,250","26,000",31,375
 Cape Verde Islands,"35,100","11,500","23,600",82,756
 Iceland,"32,408","21,508","10,900",145,"1,794"
 Vanuatu,"27,400","6,400","21,000",230,316
 Comoros,"27,100","1,100","26,000",10,100
 Solomon Islands,"26,820","8,820","18,000",212,560
 Equatorial Guinea,"25,590","2,290","23,300",22,115
 Malta,"24,853","10,753","14,100",61,"2,204"
 Maldives,"20,286","5,486","14,800",60,178
 Bahrain,"18,278","4,078","14,200",52,710
 Qatar,"18,156","6,556","11,600",16,530
 Bahamas,"17,944","2,544","15,400",41,266
 Belize,"17,800","3,150","14,650",42,670
 Bhutan,"17,100","1,200","15,900",10,200
 Tahiti,"16,396","9,796","6,600",171,128
 Timor-Leste,"15,500",500,"15,000",10,100
 Macau,"14,123","4,773","9,350",96,754
 St. Lucia,"11,023","3,063","7,960",41,390
 Aruba,"10,700","5,900","4,800",62,126
 New Caledonia,"9,800","5,200","4,600",105,300
 St. Vincent and the Grenadines,"9,500","4,400","5,100",52,505
 Sao Tome e Principe,"8,400",800,"7,600",10,122
 Faroe Islands,"8,094","5,694","2,400",40,"1,050"
 Brunei Darussalam,"7,500","1,400","6,100",20,133
 Bermuda,"7,155","3,855","3,300",58,255
 US Virgin Islands,"6,700",900,"5,800",10,101
 Grenada,"6,682","1,652","5,030",20,150
 Antigua and Barbuda,"6,600","2,200","4,400",21,133
 Seychelles,"5,860","2,060","3,800",20,390
 Samoa,"5,700","2,300","3,400",63,400
 Guam,"5,460","2,685","2,775",20,156
 Andorra,"5,037","3,037","2,000",27,168
 Tonga,"5,000","3,200","1,800",105,200
 Dominica,"4,500","1,300","3,200",21,139
 Netherlands Antilles,"4,220","1,820","2,400",41,362
 Curacao,"4,220","1,820","2,400",41,362
 Cayman Islands,"3,700","1,300","2,400",10,300
 St. Kitts and Nevis,"3,500","1,500","2,000",31,100
 Liechtenstein,"3,315","2,205","1,110",10,274
 American Samoa,"3,248","2,038","1,210",33,237
 San Marino,"2,836","1,586","1,250",17,260
 Cook Islands,"2,200","1,800",200,42,200
 Turks and Caicos Islands,"2,155",655,"1,500",9,47
 Anguilla,"1,597",902,695,15,70
 British Virgin Islands,"1,555",435,"1,120",,21
 Montserrat,700,200,500,,6
